CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,480,22.15,22.94,3.08,13.9,TEL
CPHP1314,52,2.3,2.3,0.0,0.0,CPH
CPHP1312,55,2.3,2.3,0.01,0.4,CPH
CPHP1323,40,2.3,2.3,0.01,0.4,CPH
CPHP1322,41,2.3,2.3,0.01,0.4,CPH
CPHP1423,40,2.3,2.3,0.0,0.0,CPH
CPHP1413,54,2.3,2.3,0.01,0.4,CPH
CPHP1414,42,2.3,2.3,0.01,0.4,CPH
CPHP1412,59,2.3,2.3,0.0,0.0,CPH
CPHP1313,56,2.3,2.3,0.01,0.4,CPH
CPHP1422,41,2.3,2.3,0.01,0.4,CPH
DEV153,61,1.83,1.83,0.01,0.5,DEV
DEV151,71,1.83,1.83,0.0,0.0,DEV
COT131,129,1.83,1.83,0.01,0.5,COT
COT141,121,1.83,1.83,0.01,0.5,COT
COT132,115,1.83,1.83,0.01,0.5,COT
COT142,115,1.83,1.83,0.01,0.5,COT
DEV161,63,1.83,1.83,0.01,0.5,DEV
DEV163,60,1.83,1.83,0.01,0.5,DEV
DEV152,57,1.82,1.82,0.0,0.0,DEV
DEV162,57,1.82,1.82,0.01,0.5,DEV
DEV154,56,1.82,1.82,0.01,0.5,DEV
DEV164,55,1.82,1.82,0.0,0.0,DEV
CPHP1622,39,1.63,1.63,0.01,0.6,CPH
CPHP1521,42,1.63,1.63,0.0,0.0,CPH
CPHP1513,53,1.63,1.63,0.0,0.0,CPH
CPHP1522,39,1.63,1.63,0.01,0.6,CPH
CPHP1621,41,1.63,1.63,0.0,0.0,CPH
CPHP1613,44,1.63,1.63,0.01,0.6,CPH
CPHP1612,54,1.63,1.63,0.01,0.6,CPH
CPHP1512,55,1.63,1.63,0.0,0.0,CPH
CPHP1611,57,1.63,1.63,0.0,0.0,CPH
CPHP1511,56,1.63,1.63,0.01,0.6,CPH
ADH107,58,0.93,0.93,0.01,1.1,ADH
ADH103,74,0.92,0.92,0.01,1.1,ADH
ADH104,74,0.92,0.92,0.01,1.1,ADH
ADH106,59,0.92,0.92,0.01,1.1,ADH
ADH105,61,0.92,0.92,0.01,1.1,ADH
ADH101,78,0.92,0.92,0.01,1.1,ADH
ADH102,76,0.92,0.92,0.01,1.1,ADH
SCPL1331,129,0.75,0.75,0.0,0.0,SCP
SCPL1332,115,0.75,0.75,0.0,0.0,SCP
SCPL1531,128,0.75,0.75,0.0,0.0,SCP
SCPL1532,117,0.75,0.75,0.0,0.0,SCP
SCPL1432,116,0.75,0.75,0.0,0.0,SCP
SCPL1431,120,0.75,0.75,0.0,0.0,SCP
SCPL1631,120,0.75,0.75,0.0,0.0,SCP
SCPL1632,115,0.75,0.75,0.0,0.0,SCP
CHK2,243,0.47,0.45,0.12,25.5,CHK
CHK1,237,0.46,0.45,0.09,19.6,CHK
