CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,672,17.89,17.4,5.55,31.0,TEL
DEV151,99,2.5,2.5,0.01,0.4,DEV
DEV163,83,2.5,2.5,0.01,0.4,DEV
DEV161,90,2.5,2.5,0.01,0.4,DEV
DEV153,89,2.5,2.5,0.01,0.4,DEV
DEV152,82,2.48,2.48,0.0,0.0,DEV
DEV164,74,2.48,2.48,0.0,0.0,DEV
DEV162,78,2.48,2.48,0.0,0.0,DEV
DEV154,77,2.48,2.48,0.0,0.0,DEV
CPHP1322,106,1.13,1.13,0.0,0.0,CPH
CPHP1513,71,1.13,1.13,0.0,0.0,CPH
CPHP1412,113,1.13,1.13,0.0,0.0,CPH
CPHP1511,83,1.13,1.13,0.01,0.9,CPH
CPHP1422,103,1.13,1.13,0.01,0.9,CPH
CPHP1413,109,1.13,1.13,0.01,0.9,CPH
CPHP1313,109,1.13,1.13,0.01,0.9,CPH
CPHP1512,78,1.13,1.13,0.01,0.9,CPH
CPHP1312,132,1.13,1.13,0.01,0.9,CPH
CPHP1522,57,1.13,1.13,0.01,0.9,CPH
CPHP1622,57,1.13,1.13,0.01,0.9,CPH
CPHP1613,61,1.13,1.13,0.0,0.0,CPH
CPHP1621,55,1.13,1.13,0.0,0.0,CPH
CPHP1521,58,1.13,1.13,0.01,0.9,CPH
CPHP1611,78,1.13,1.13,0.0,0.0,CPH
CPHP1612,74,1.13,1.13,0.01,0.9,CPH
ADH101,114,0.92,0.92,0.01,1.1,ADH
ADH105,89,0.92,0.92,0.01,1.1,ADH
ADH107,77,0.92,0.92,0.01,1.1,ADH
ADH106,81,0.92,0.92,0.01,1.1,ADH
ADH103,104,0.92,0.92,0.01,1.1,ADH
ADH104,99,0.92,0.92,0.01,1.1,ADH
ADH102,108,0.92,0.92,0.01,1.1,ADH
ITC133,189,0.89,0.88,0.01,1.1,ITC
ITC134,158,0.89,0.88,0.01,1.1,ITC
ITC144,159,0.89,0.88,0.01,1.1,ITC
ITC143,166,0.89,0.88,0.01,1.1,ITC
SCPL1431,89,0.75,0.75,0.0,0.0,SCP
SCPL1432,83,0.75,0.75,0.0,0.0,SCP
SCPL1332,85,0.75,0.75,0.0,0.0,SCP
SCPL1333,82,0.75,0.75,0.0,0.0,SCP
SCPL1334,73,0.75,0.75,0.0,0.0,SCP
SCPL1331,107,0.75,0.75,0.0,0.0,SCP
SCPL1531,181,0.75,0.75,0.0,0.0,SCP
SCPL1532,166,0.75,0.75,0.0,0.0,SCP
SCPL1434,75,0.75,0.75,0.0,0.0,SCP
SCPL1433,78,0.75,0.75,0.0,0.0,SCP
SCPL1631,168,0.75,0.75,0.0,0.0,SCP
SCPL1632,157,0.75,0.75,0.0,0.0,SCP
CHK1,335,0.45,0.43,0.08,17.8,CHK
CHK2,337,0.45,0.43,0.07,15.6,CHK
