CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,597,25.78,21.5,15.53,60.2,TEL
COT141,149,2.85,1.93,6.34,222.5,COT
COT132,144,1.93,1.93,0.01,0.5,COT
COT142,143,1.93,1.93,0.01,0.5,COT
COT131,161,1.93,1.93,0.01,0.5,COT
CPHP1323,49,1.63,1.63,0.0,0.0,CPH
CPHP1312,71,1.63,1.63,0.01,0.6,CPH
CPHP1313,67,1.63,1.63,0.01,0.6,CPH
CPHP1314,67,1.63,1.63,0.0,0.0,CPH
CPHP1322,51,1.63,1.63,0.01,0.6,CPH
CPHP1422,48,1.63,1.63,0.01,0.6,CPH
CPHP1512,64,1.63,1.63,0.01,0.6,CPH
CPHP1511,69,1.63,1.63,0.01,0.6,CPH
CPHP1423,49,1.63,1.63,0.0,0.0,CPH
CPHP1413,68,1.63,1.63,0.01,0.6,CPH
CPHP1414,54,1.63,1.63,0.0,0.0,CPH
CPHP1412,68,1.63,1.63,0.0,0.0,CPH
CPHP1521,52,1.63,1.63,0.0,0.0,CPH
CPHP1613,53,1.63,1.63,0.01,0.6,CPH
CPHP1522,51,1.63,1.63,0.01,0.6,CPH
CPHP1611,68,1.63,1.63,0.0,0.0,CPH
CPHP1612,67,1.63,1.63,0.0,0.0,CPH
CPHP1622,51,1.63,1.63,0.01,0.6,CPH
CPHP1621,51,1.63,1.63,0.0,0.0,CPH
CPHP1513,66,1.63,1.63,0.0,0.0,CPH
DEV151,87,1.33,1.33,0.01,0.8,DEV
DEV162,69,1.33,1.33,0.01,0.8,DEV
DEV152,70,1.33,1.33,0.01,0.8,DEV
DEV154,70,1.33,1.33,0.01,0.8,DEV
DEV153,75,1.33,1.33,0.01,0.8,DEV
DEV164,73,1.33,1.33,0.01,0.8,DEV
DEV163,73,1.33,1.33,0.01,0.8,DEV
DEV161,75,1.33,1.33,0.01,0.8,DEV
ADH101,96,0.92,0.92,0.01,1.1,ADH
ADH105,77,0.92,0.92,0.01,1.1,ADH
ADH107,73,0.92,0.92,0.01,1.1,ADH
ADH106,74,0.92,0.92,0.01,1.1,ADH
ADH103,92,0.92,0.92,0.01,1.1,ADH
ADH104,91,0.92,0.92,0.01,1.1,ADH
ADH102,94,0.92,0.92,0.01,1.1,ADH
SCPL1331,160,0.75,0.75,0.0,0.0,SCP
SCPL1332,145,0.75,0.75,0.0,0.0,SCP
SCPL1531,157,0.75,0.75,0.0,0.0,SCP
SCPL1532,145,0.75,0.75,0.0,0.0,SCP
SCPL1432,143,0.75,0.75,0.0,0.0,SCP
SCPL1431,149,0.75,0.75,0.0,0.0,SCP
SCPL1631,144,0.75,0.75,0.0,0.0,SCP
SCPL1632,146,0.75,0.75,0.0,0.0,SCP
CHK1,299,0.45,0.43,0.06,13.3,CHK
CHK2,293,0.45,0.43,0.04,8.9,CHK
