CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,703,18.24,15.98,11.36,62.3,TEL
CPHP1412,138,1.47,1.47,0.0,0.0,CPH
CPHP1521,68,1.47,1.47,0.0,0.0,CPH
CPHP1611,88,1.47,1.47,0.0,0.0,CPH
CPHP1612,72,1.47,1.47,0.0,0.0,CPH
CPHP1621,61,1.47,1.47,0.0,0.0,CPH
CPHP1424,103,1.47,1.47,0.0,0.0,CPH
CPHP1513,70,1.47,1.47,0.0,0.0,CPH
CPHP1423,104,1.47,1.47,0.0,0.0,CPH
CPHP1512,81,1.46,1.47,0.01,0.7,CPH
CPHP1522,52,1.46,1.47,0.01,0.7,CPH
CPHP1511,91,1.46,1.47,0.01,0.7,CPH
CPHP1414,122,1.46,1.47,0.01,0.7,CPH
CPHP1422,112,1.46,1.47,0.01,0.7,CPH
CPHP1622,52,1.46,1.47,0.01,0.7,CPH
CPHP1613,68,1.46,1.47,0.01,0.7,CPH
CPHP1413,124,1.46,1.47,0.01,0.7,CPH
DEV151,109,1.33,1.33,0.01,0.8,DEV
DEV162,75,1.33,1.33,0.01,0.8,DEV
DEV152,84,1.33,1.33,0.01,0.8,DEV
DEV154,73,1.33,1.33,0.01,0.8,DEV
DEV153,96,1.33,1.33,0.01,0.8,DEV
DEV164,69,1.33,1.33,0.01,0.8,DEV
DEV163,90,1.33,1.33,0.01,0.8,DEV
DEV161,107,1.33,1.33,0.01,0.8,DEV
ITC143,365,1.11,1.1,0.01,0.9,ITC
ITC144,338,1.1,1.1,0.01,0.9,ITC
ADH101,132,0.92,0.92,0.01,1.1,ADH
ADH107,77,0.92,0.92,0.01,1.1,ADH
ADH106,84,0.92,0.92,0.01,1.1,ADH
ADH104,94,0.92,0.92,0.01,1.1,ADH
ADH105,92,0.92,0.92,0.01,1.1,ADH
ADH103,109,0.92,0.92,0.01,1.1,ADH
ADH102,115,0.92,0.92,0.01,1.1,ADH
SCPL1531,193,0.75,0.75,0.0,0.0,SCP
SCPL1532,169,0.75,0.75,0.0,0.0,SCP
SCPL1432,335,0.75,0.75,0.0,0.0,SCP
SCPL1431,368,0.75,0.75,0.0,0.0,SCP
SCPL1631,182,0.75,0.75,0.0,0.0,SCP
SCPL1632,159,0.75,0.75,0.0,0.0,SCP
CHK2,352,0.48,0.45,0.15,31.2,CHK
CHK1,351,0.48,0.45,0.15,31.2,CHK
